ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORDENADAS-ETRS89,COORDENADAS-WGS84,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TOTAL_ELEM,tipo,CANTIDAD_JUEGOS_POR_TIPO,CAPACIDAD_MAX
18089,Area_infantil,163,Canillas,16.0,Hortaleza,Operativo,"[444489.14, 4479456.22]","[-3.65476729, 40.46392465]",Carretera,Canillas,022,28043.0,"Carretera_canillas, 022",31021006.0,2000-01-01T00:00:00Z,16073,AE21,8,Infantil,"{'Deportivas': 0, 'Infantiles': 2, 'Mayores': 0}",15
18091,Area_infantil,164,Pinar_del_rey,16.0,Hortaleza,Operativo,"[444451.52, 4480196.36]","[-3.6552758, 40.47058967]",Avenida,San_luis,023,28033.0,"Avenida_san_luis, 023",11118155.0,18091-FECHA_INSTALACION-incorrecta,16075,AE21,13,Infantil,"{'Deportivas': 0, 'Infantiles': 7, 'Mayores': 0}",33
18093,Area_infantil,164,Pinar_del_rey,16.0,Hortaleza,Operativo,"[444715.91, 4480681.58]","[-3.65219942, 40.47497841]",Calle,Manuel_chaves_nogales,004,28033.0,"Calle_manuel_chaves_nogales, 004",11119835.0,2006-01-01T00:00:00Z,16077,AE21,14,Infantil,"{'Deportivas': 0, 'Infantiles': 6, 'Mayores': 0}",14
18095,Area_infantil,165,Apostol_santiago,16.0,Hortaleza,Operativo,"[444131.56, 4480632.12]","[-3.65908834, 40.47449374]",Plaza,Templarios,004,28033.0,"Plaza_templarios, 004",31008503.0,2006-01-01T00:00:00Z,16079,AE21,14,Infantil,"{'Deportivas': 0, 'Infantiles': 5, 'Mayores': 0}",10
18097,Area_infantil,165,Apostol_santiago,16.0,Hortaleza,Operativo,"[444478.6, 4480872.43]","[-3.65501555, 40.47668184]",Calle,Doña_guiomar,003,28033.0,"Calle_doña_guiomar, 003",20155581.0,2005-01-01T00:00:00Z,16080,AE21,9,Infantil,"{'Deportivas': 0, 'Infantiles': 5, 'Mayores': 0}",27
18099,Area_infantil,163,Canillas,16.0,Hortaleza,Operativo,"[445851.3, 4479398.66]","[-3.63869625, 40.46349601]",Calle,Alcorisa,059,28043.0,"Calle_alcorisa, 059",11116852.0,2005-01-01T00:00:00Z,16082,AE21,21,Infantil,"{'Deportivas': 0, 'Infantiles': 6, 'Mayores': 0}",37
18101,Area_infantil,163,Canillas,16.0,Hortaleza,Operativo,"[445609.68, 4479253.47]","[-3.6415336, 40.46217228]",Calle,Calanda,030,28043.0,"Calle_calanda, 030",31035558.0,18101-FECHA_INSTALACION-incorrecta,16087,AE21,8,Infantil,"{'Deportivas': 0, 'Infantiles': 4, 'Mayores': 0}",18
18104,Area_infantil,164,Pinar_del_rey,16.0,Hortaleza,Operativo,"[443897.44, 4479834.65]","[-3.66177959, 40.46729398]",Plaza,Golmayo,017,28033.0,"Plaza_golmayo, 017",31044659.0,2001-01-01T00:00:00Z,16090,AE21,10,Infantil,"{'Deportivas': 0, 'Infantiles': 2, 'Mayores': 0}",11
18106,Area_infantil,163,Canillas,16.0,Hortaleza,Operativo,"[445396.94, 4479279.14]","[-3.64404493, 40.46238958]",Calle,Utrillas,018,28043.0,"Calle_utrillas, 018",11116736.0,2004-01-01T00:00:00Z,16097,AE21,11,Infantil,"{'Deportivas': 0, 'Infantiles': 5, 'Mayores': 0}",36
52128,Area_infantil,134,Palomeras_sureste,13.0,Puente_de_vallecas,Operativo,"[444967.99, 4470064.78]","[-3.64830674, 40.3793531]",Avenida,Miguel_hernandez,114,28018.0,"Avenida_miguel_hernandez, 114",20154123.0,52128-FECHA_INSTALACION-incorrecta,13164,AE21,7,Infantil,"{'Deportivas': 0, 'Infantiles': 3, 'Mayores': 0}",10
52137,Area_infantil,142,Horcajo,14.0,Moratalaz,Operativo,"[446626.8, 4472802.044]","[-3.62899559, 40.40412004]",Calle,Laguna_negra,002,28030.0,"Calle_laguna_negra, 002",20146497.0,2011-01-01T00:00:00Z,14108,AE21,18,Infantil,"{'Deportivas': 0, 'Infantiles': 7, 'Mayores': 0}",34
52147,Area_infantil,153,Quintana,15.0,Ciudad_lineal,Operativo,"[445821.1, 4476594.89]","[-3.63881323, 40.43823618]",Calle,Misterios,001,28027.0,"Calle_misterios, 001",31011837.0,2008-01-01T00:00:00Z,15136,AE21,9,Infantil,"{'Deportivas': 0, 'Infantiles': 3, 'Mayores': 0}",33
